School,Location,City,Country,Description
Cornell-China and Asia-Pacific Studies (CAPS) Program,"Beijing, China",Beijing,China,"Overview:
The Brittany and Adam J. Levinson China and Asia-Pacific Studies (CAPS) Program offers Cornell undergraduate students a study abroad opportunity in Beijing, China through its partnership with the School of International Studies at Peking University (PKU or Beida), China’s most distinguished institution of higher learning. CAPS majors and minors attend a course of study for one semester at Beida - taking two CAPS core courses on China’s domestic transformation and international relations, one Chinese language course, and other available Beida courses all for Cornell credit. Students may opt to complete a summer or winter internship in the Greater China area either right before or after their Beijing semester. Other qualified Cornell students may apply for a CAPS study abroad semester on a case-by-case basis.
"
Cornell-Keystone NFLP Summer Program in India,India,India,,"Overview:
Are you interested in the intersection of mental health and culture, global health, and community engagement? Do you want to gain field research skills and learn about indigenous communities in South India’s beautiful and fragile Nilgiris Biosphere Reserve? If so, the Cornell-Keystone Nilgiris Field Learning Program might be for you!"
Delft University of Technology - Human Ecology Exchange,"Delft, Netherlands",Delft,Netherlands,"Overview:
The department of Industrial Design houses the disciplines of ergonomics (human factors) and design (‘formgiving’). The emphasis of both these disciplines is on the interaction between user and product. Key aspects are the expressiveness of products, usability and aesthetics, the meanings that product forms have for their users, and the place of design and designing in a socio-cultural context. The department incorporates the above elements into both research and education. TU Delft has a wide range of research facilities. These facilities are unique in the Netherlands and are used to conduct research for business and industry. They range from wind tunnels, a chip facility, high-voltage laboratory and nuclear reactor to serious gaming and product evaluation."
DIS: Semester in Copenhagen,"Copenhagen, Denmark",Copenhagen,Denmark,"Overview:
Academics at DIS Copenhagen are separated into 26 different Programs, and each Program focuses on a specific academic field or discipline.  Your Program at DIS is determined by your choice of a Core Course.  Core Courses include a week-long Program Study Tour to a destination that supports the academic focus of the course, and a Core Course Week, comprised of a two-day seminar in Copenhagen and three-day short Study Tour. Both Study Tours are faculty-led and integrated into the Program curriculum. Once you have chosen your Core Course, you are free to choose from over 240 elective courses across 70 disciplines. This allows you to focus on your major or diversify. 
Minimum GPA:
3.00"
DIS: Semester in Stockholm,"Stockholm, Sweden",Stockholm,Sweden,"Overview:
At DIS Stockholm, you will build your semester by choosing a Core Course from one of nine Academic Programs that represent academic disciplines unique to Stockholm and Sweden's industry and educational interest and expertise, plus three or four elective courses that expand across 37 disciplines.  DIS courses will challenge you to examine topics from various perspectives. Learn how concepts and issues are perceived, lived, and theorized in Europe; and reflect on the cultural norms and values that shape you.  With DIS Stockholm, you will travel with your class and faculty on two course-integrated Study Tours in Europe, during which you will visit important sites and meet with local experts who add their perspectives to your knowledge of the field.
Minimum GPA:
3.00"
EcoQuest: Ecology in Action,"Whakatīwai, New Zealand",Whakatīwai,New Zealand ,"Overview:
EcoQuest semester programs provide an exciting opportunity to be part of a vibrant learning community for 15 weeks and to be involved in local research. EcoQuest Ecology in Action provides a rigorous, immersive field-based program that focuses on practical skills and conceptual thinking, with opportunities to contribute to local conservation and resource management initiatives. Each semester, students will explore terrestrial, coastal, and marine ecosystems at a variety of locations in New Zealand and examine the unique natural history and environmental impacts first-hand.
Minimum GPA:
3.00"
EcoQuest: Sustainable Agriculture & Food Systems,New Zealand,New,Zealand,"Overview:
EcoQuest semester programs provide an exciting opportunity to be part of a vibrant learning community for 15 weeks and to be involved in local research. EcoQuest's Sustainable Agriculture & Food Systems program provides an exciting mix of academic rigor, place-based and hands-on learning.  This gives students great opportunities to engage with a variety of agribusinesses in New Zealand. New Zealand is a world leader in primary production, with agriculture its biggest industry. New Zealand dairy, honey, eggs, meat, wool, wine, fruit, vegetables, seafood and timber are exported around the globe. In addition, New Zealand exports its on-farm technology.  There is a strong focus on forward-thinking to meet the challenges of sustainable food production in an ever-more sophisticated market that demands high-quality, high-value, and diverse products as well as environmental accountability.  Biosecurity (pests and pathogens), water quality, maintaining biodiversity, and reducing emissions are key focus areas for innovation, research, and development, with a view to future-proofing existing and new production systems. 
Minimum GPA:
3.00"
"EDUCO Consortium, Paris","Paris, France",Paris,France,"Overview:
Study in Paris alongside local students at French universities on Cornell’s own program in Paris. Live in a Parisian household or in a residence hall with students from France and all around the world. Benefit from the strong advising that comes on a program where all students are taking university courses and where the advisors know Cornell and its colleges. Enjoy the many optional opportunities provided by EDUCO (wine and cheese tasting, excursions to other parts of France, gatherings with French students, cooking lessons, etc.) in addition to the activities planned for all students each semester. Each year, Cornell, Duke, Emory, or Tulane sends a faculty member who teaches one course; other EDUCO center courses are taught by leading faculty from Sciences Po and the French universities.
Minimum GPA:
3.00"
EDUCO Consortium: Sciences Po Paris,"Paris, France",Paris,France,"Overview:
Sciences Po, the French ""grande ecole"" for the study of political science, international relations, economics, sustainable development, law, and related subjects accepts one Cornell student each year.  Preference is given to full-year students. Needless to say, Paris is central to many ideal visions as the hub for philosophy, music, art, literature, theater--in short, ""culture.""  But it is also the hub for political thinking and action on matters of identity, representation, labor rights, medicine, banking, and climate concerns. Whether in the streets, the cafes, or the classrooms, you will be at the heart of much that is changing in Europe.
Minimum GPA:
3.00"
Engineering Exchange: Technion: Israel Institute of Technology,"Haifa, Israel",Haifa,Israel,"Overview:
Join Cornell-Tech's partner in Israel. Study Civil or Mechanical Engineering in English at the Technion in Haifa, home to many high-technology spinoff companies. Technion-Israel Institute of Technology is Israel’s premier center of science, technology and applied research. Ranked among the top 50 technology universities in the world, Technion is home to 18 faculties, and over 60 advanced research centers and institutes, and a distinguished faculty of over 600, including three Nobel laureates. Technion graduates have brought the unique skills and penchant for innovation which contributed to Israel's reputation as the “Start-Up Nation.”
Minimum GPA:
3.00"
"France Agro3: ISA-JUNIA, Lille - CALS Exchange","Lille, France",Lille,France,"Overview:
ISA Lille is a french graduate school of agriculture and bioengineering offering master’s programs with majors in Agricultural Science, Food Science, Environmental Science and Economics, Marketing & Management, taught in English and French. Created in 1963, ISA Lille’s campus is part of Lille Catholic University, the largest private higher education institution in France, with 26,000 full-time students and 2,500 international students. In addition to academic programs and research activities, ISA Lille offers consulting activities to local companies as well as global leaders in the sectors of agriculture, food industry and environment in France and abroad. Students also have the opportunity to participate in a summer program prior to the start of the fall semester. You can learn more about the summer opportunity in the academics section of this listing.
Minimum GPA:
3.00"
"France Agro3: ISARA, Lyon - CALS Exchange","Lyon, France",Lyon,France,"Overview:
ISARA Lyon is a French 'grande école"" specialized in agricultural, food and environmental science. For over 50 years, ISARA has offered a curricular pedagogy combining theory and practice in agriculture, environment & natural resources management, agrifood, food & industrial management, sustainable rural development, and markets & corporate management. With modern scientific and technical laboratories, ISARA offers unique programming and coursework. Lyon is the third largest city in France and second largest urban area. Lyon is home to approximately 163,000 students, of which about 16,000 are international students. The city is known for its cuisine and gastronomy with part of it registered as a UNESCO World Heritage site. Lyon is located about 2 hours from Paris and Marseilles (TGV high speed train), close to the Alps (ski resorts) and the Mediterranean Sea. Rhône-Alps natural diversity (Mediterranean and temperate climate, plains and mountains) offer a wide range of activities relating to agriculture and food. Fruit and vegetable cropping as well as cattle breeding are important production sectors, renown vineyards are located in Beaujoloais area and in the Rhône Valley. You can learn more about living in Lyon. 
Minimum GPA:
3.00"
Harper Adams University - CALS Exchange,"Newport, United Kingdom",Newport,United Kingdom,"Overview:
Since 1954, CALS has offered their students unique opportunities to study abroad via the CALS Exchange program. Through reciprocal agreements with select universities, CALS students integrate themselves into a partner university abroad, taking classes and living alongside degree-seeking students. In exchange, students from our partner come to study at CALS. The CALS Exchange programs are rooted in, and in many cases designed by, CALS faculty affiliated to an international academic institution or university department that complements your academic program. 
Minimum GPA:
2.75"
"Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Rehovot, Israel",Rehovot,Israel,"Overview:
A leading science and research institute, the Hebrew University of Jerusalem (HUJI) offers a global approach to education and research which strives for the ""...preservation of and research into Jewish, cultural, spiritual and intellectual traditions; and the expansion of the boundaries of knowledge for the benefit of all humanity."" HUJI was founded in 1918 and opened in 1925. It is ranked within the top 100 universities in the world. Cornell students will take courses through The International School of Agricultural Sciences, The Robert H. Smith Faculty of Agriculture, Food and Environment. Take advantage of attending a comprehensive university with 6 campuses, 7 faculties, and 14 schools offering a wide range of courses. The student body consists of approximately 23,000 undergraduate students, 972 researchers and 2,000 international students. 
Minimum GPA:
3.00"
Hong Kong Polytechnic University (PolyU): Human Ecology Exchange,Hong Kong,Hong Kong,,"Overview:
The Hong Kong Polytechnic University (PolyU) was founded in 1937, with the mission of providing high quality education of an applied nature to meet the needs of a changing society. They are committed to equipping students with professional competency as well as maintaining a strong partnership with the business and industrial sectors. Poly U has the largest student community among publicly funded universities in Hong Kong, with approximately 11,500 full-time and 5,000 part-time students. Poly U is the sole provider of full-time honors degree programs in the following areas in Hong Kong: design, engineering physics, fashion and textiles, medical laboratory science, international shipping and transport logistics, occupational therapy, optometry, physiotherapy, radiography and geo-informatics.
Minimum GPA:
3.00
"
Hong Kong University of Science and Technology (HKUST),Hong Kong,Hong Kong,,"Overview:
HKUST is a publicly funded university that opened in 1991 and rapidly became a leading international research university. HKUST is dedicated to the pursuit of knowledge in science, engineering, business, humanities and social science. The university comprises five Schools: Science, Engineering, Business and Management, Humanities and Social Science, and the Fok Ying Tung Graduate School. The undergraduate student body comprises 83% domestic students and the remaining 17% equally split between students from Mainland China and other countries. In addition, with approximately 400 exchange students passing through HKUST every term, you really can make friends with people from around the world.
Minimum GPA:
3.00"
ICCS: Intercollegiate Center for Classical Studies,"Rome, Italy",Rome,Italy,"Overview:
Specialized program for undergraduate students majoring in classics, archaeology or art history with strong classical interests. The Premier North American Center for the Study of the Classical World in Italy. The Intercollegiate Center for Classical Studies in Rome (ICCS) was established in 1965 by representatives of ten American colleges and universities; the number of member institutions has now grown to over 100. It provides undergraduate students with an opportunity in Rome to study ancient history, archaeology, Greek and Latin literature, Italian language, and ancient art. ICCS has received generous aid from the Danforth Foundation, The Old Dominion Foundation, The Mellon Foundation, and the David and Lucille Packard Foundation, as well as the continuing support of a consortium of colleges and universities and contributions from former students.
Minimum GPA:
2.70"
IE University,"Madrid, Spain",Madrid,Spain,"Overview:
IE University has its roots in IE Business School, which was founded in 1973 in the heart of Madrid's financial district. Those early years saw the launch of IE Business School’s MBA and Executive MBA programs. As Spain opened its doors to the world, IE served as a platform for debate on business challenges on an international level. In 1983 the School's International MBA was born. IE has since grown to become a hub for international business students and enjoys top rankings worldwide as a leading business school. IE has now expanded to be comprised of six different schools, such as the Business School, Law School, School of Architecture & Design, School of Science & Technology, School of Politics, Economics, & Global Affairs, and the newly launched School of Humanities. IE’s undergraduate programs have been growing rapidly, both in terms of enrollment and programs offered.
Minimum GPA:
3.00
"
ILR Exchange: Bocconi University,"Milan, Italy",Milan,Italy,"Overview:
Università Bocconi, founded in 1902, was the first Italian university to grant a degree in economics. Bocconi's economics, management and finance programs are among the best in the world. The QS World University Rankings listed Bocconi among the ten best institutions in Europe in these fields, while the Financial Times ranks Bocconi's Master degrees in Finance and Management among the top ten worldwide. Milan is known as the economic and production capital of Italy and the leading Italian hub for services, finance and industry. Milan is the engine of the country's economy and home of the Italian stock exchange. This cosmopolitan, modern and forward-looking city is world-renowned as a European capital of fashion, design, architecture, finance, publishing, modern art, and music. It is deeply rooted in a flourishing past and hosts authentic treasures which have survived damage during WWII, including its elaborate cathedral, Leonardo da Vinci's The Last Supper, the La Scala opera house, and Castello Sforzesco.
Minimum GPA:
3.30"
ILR Exchange: Cardiff University,"Cardiff, United Kingdom",Cardiff,United Kingdom,"Overview:
Cardiff University was founded in 1883.  It is one of the UK's Russell Group universities and is one of the top 5 universities in the UK, with a global reputation for research, teaching, and learning. Its world-leading research was ranked 5th amongst UK universities in the 2014 Research Excellence Framework for quality and 2nd for impact. Driven by creativity and curiosity, Cardiff strives to fulfill its social, cultural and economic obligations to Cardiff, Wales, and the world. 
Minimum GPA:
3.00
"
ILR Exchange: Queen Mary University of London,"London, United Kingdom",London,United Kingdom,"Overview:
Queen Mary University of London (QMUL) is one of the UK's leading research-focused higher education institutions. With 25,332 students, 4,000 staff and an annual turnover of £400m, QMUL is one of the biggest University of London colleges.  QMUL has an international reputation for academic excellence: it is a member of the Russell Group, which represents 24 leading UK universities. The ILR-QMUL exchange is with the School of Business and Management.  The study of Business and Management at Queen Mary draws on, and intersects with, a huge range of disciplines, from Economics, Philosophy and Psychology to social Geography, Politics and History. These feed into a deeper understanding of business and management practices and how they shape society as whole. 
Minimum GPA:
3.30
"
ILR Exchange: Universitat Rovira i Virgili,"Tarragona, Spain",Tarragona,Spain,"Overview:
The Rovira i Virgili University (URV) is a young and dynamic university located in Southern Catalonia, one of the most important tourist regions in Europe. Open to the world and at the service of society, the URV maintains a close relationship with the socioeconomic fabric of its region. URV is a leading university in Catalonia and in Europe, and it is well known for the quality of its teaching, its commitment to continuous training, and the excellence of its research, development, and innovation. The ILR-URV exchange is with the Faculty of Business and Economics. The faculty of business and economics has been training specialists since 1988 in both economics and business. At the present there are 1,524 students, nearly 200 teachers and 32 administrative and service staff.  The faculty offers undergraduate, master, and doctoral degrees in areas such as Finance and Accounting, Business and Management, Economics, Entrepreneurship and Innovation, and International Markets.
Minimum GPA:
3.00

"
ILR Exchange: University of New South Wales,"Sydney, Australia",Sydney,Australia,"Overview:
The University of Warwick is one of the UK's leading universities, with an acknowledged reputation for excellence in research and teaching, for innovation, and for links with business and industry.  It is a member of the Russell Group, which represents the 24 leading universities in the UK; it is consistently ranked in the top 10 of all major UK League Tables; and it is ranked in the top 20 of the World’s MOST International Universities by The Time’s Higher Education. The ILR-University of Warwick student exchange is with the Warwick Business School (WBS). In under 50 years, WBS has become one of the world's elite business schools providing top-class programmes for ambitious people. WBS is led by innovation, creativity, and change, and engages with the big debates in business and public policy.
Minimum GPA:
3.00
"
"ILR Exchange: University of WarwickCoventry, United Kingdom","Coventry, United Kingdom",Coventry,United Kingdom,"Overview:
The University of Warwick is one of the UK's leading universities, with an acknowledged reputation for excellence in research and teaching, for innovation, and for links with business and industry.  It is a member of the Russell Group, which represents the 24 leading universities in the UK; it is consistently ranked in the top 10 of all major UK League Tables; and it is ranked in the top 20 of the World’s MOST International Universities by The Time’s Higher Education. The ILR-University of Warwick student exchange is with the Warwick Business School (WBS). In under 50 years, WBS has become one of the world's elite business schools providing top-class programmes for ambitious people. WBS is led by innovation, creativity, and change, and engages with the big debates in business and public policy.
Minimum GPA:
3.00"
ISDSI: International Sustainable Development Studies in ThailandChiang ,"Mai, Thailand",Mai,Thailand,"Overview:
Hands-on, field-based learning directly from the people involved in creating a more sustainable world, designed in collaboration with local communities. Thailand is a beautiful country full of contrasts.  Experience and study different ecosystems. Be challenged intellectually and physically. Collect and examine data through multiple methods. Learn from leaders in organic farming, conservation, elephant care, and more.
Minimum GPA:
3.00
"
King's College London,"London, United Kingdom",London,United Kingdom,"Overview:
King's College London (KCL) is one of the UK's most historic and prestigious universities. With a forward thinking vision and state-of-the-art facilities, King's is renowned for excellence in both its innovative teaching and pioneering research. Based in the heart of central London, and spread across five London campuses, King's is one of the largest multi-faculty institutions in the UK. Students participating in this program at King's College London enroll in the ""Health and Society"" course, which is composed of coursework and clinical observation, and three other undergraduate modules at KCL of your choosing.  
Minimum GPA:
3.30"
King's College London - Health & Society Program,"London, United Kingdom",London,United Kingdom,"Overview:
Spend a semester or academic year developing your Japanese language skills in Kyoto, the former imperial capital of Japan where traditional meets modern. The Kyoto Consortium for Japanese Studies (KCJS) is a semester or academic year long program for undergraduates who wish to do work in Japanese language and Japanese studies. The program will help you strengthen your Japanese skills by providing intensive language training and regular interactions with host families and the local community. Understanding of Japanese society and culture is enhanced by the integration of the historical and cultural resources of Kyoto into the academic curriculum and student life. Coursework and program activities will enable you to explore the significance of Kyoto's past, its present and Japan's place in today's global world.
Minimum GPA:
3.00"
Kyoto Consortium for Japanese Studies (KCJS),"Kyoto, Japan",Kyoto,Japan,"Overview:
Spend a semester or academic year developing your Japanese language skills in Kyoto, the former imperial capital of Japan where traditional meets modern. The Kyoto Consortium for Japanese Studies (KCJS) is a semester or academic year long program for undergraduates who wish to do work in Japanese language and Japanese studies. The program will help you strengthen your Japanese skills by providing intensive language training and regular interactions with host families and the local community. Understanding of Japanese society and culture is enhanced by the integration of the historical and cultural resources of Kyoto into the academic curriculum and student life. Coursework and program activities will enable you to explore the significance of Kyoto's past, its present and Japan's place in today's global world.
Minimum GPA:
3.00
"
London College of Fashion (UAL),"London, United Kingdom",London,United Kingdom,"Overview:
London College of Fashion's Study Abroad Program offers students from all over the world the opportunity to study a range of fashion-related courses in London. London College of Fashion offers students specialist facilities - equipment, tools and resources - across six London sites. This includes the biggest fashion library and archive in the UK (the library was redeveloped in 2013), sample and sewing rooms, a 3D modelling room, cosmetic science labs, visual merchandising suites and make-up studios.  From the Digital Anthropology Lab working with augmented reality at John Princes Street to the dye and flax garden at Mare Street, LCF makes sure its students have everything they need.
Minimum GPA:
3.00
"
London School of Economics and Political Science (LSE),"London, United Kingdom",London,United Kingdom,"Overview:
The General Course at the LSE allows students from overseas universities to spend a full academic year at LSE from late September through to early June. They do not offer any single semester/term options, largely due to the fact that most of our modules span the full year, but also because the institution believes you need at least a year to get the most out of LSE and London! As a General Course student, you’ll be able to study any combination of more than 300 available courses covering the full range of social science subjects, and you will be fully integrated as an undergraduate student at the world's leading dedicated social science institution.  The LSE offers courses in the following subjects to General Course program participants:
Minimum GPA:
3.50"
National Taiwan University (NTU),"Taipei, Taiwan",Taipei,Taiwan,"Overview:
NTU is the most prestigious comprehensive university in Taiwan and one of the top ranked universities in the world. Dedicated to excellence and leadership since 1928, NTU has contributed significantly to Taiwan's rapid development into one of the world's most competitive economies and democratic societies. Over the years, the university has acquired a reputation for academic excellence and cutting-edge research right in the heart of Asia.  The University benefits from Taiwan's rich Chinese heritage and strategic regional position, offering initiatives and solutions that bridge East and West. NTU's main campus is located in the Da'an District in downtown Taipei City. The main campus is home to most college department buildings and administrative buildings. The University governs farms, forests, and hospitals for education and research purposes. 
Minimum GPA:
3.00"
"National Taiwan University, College of Bioresources and Agriculture (NTU) - CALS Exchange","Taipei, Taiwan",Taipei,Taiwan,"Overview:
This exchange program is suitable to nearly all CALS majors, especially for undergraduate students majoring in Agricultural Sciences, Biology, Biological and Environmental Engineering, Entomology, Environment and Sustainability, Food Science, or Plant Science. Students in majors outside of those recommended may also be able to participate, depending on your interests and academic needs. NTU is the most prestigious comprehensive university in Taiwan and one of the top ranked universities in the world. Dedicated to excellence and leadership since 1928, NTU has contributed significantly to Taiwan's rapid development into one of the world's most competitive economies and democratic societies. Over the years, the university has acquired a reputation for academic excellence and cutting-edge research right in the heart of Asia.  The University benefits from Taiwan's rich Chinese heritage and strategic regional position, offering initiatives and solutions that bridge East and West. 
Minimum GPA:
3.00
"
National University of Singapore (NUS),Singapore,Singapore,,"Overview:
*Note: Courses in Economics, Psychology, Computer Science and Info Sci are only available to majors and will be limited*
NUS offers a distinctively Asian and global experience that is grounded in maximizing the potential of students. Take advantage of attending a comprehensive university with 14 faculties (colleges) offering courses from Food Science to Entomology and Business or by taking courses outside your major, including in Asian languages, cultures and history. NUS also has three Research Centres of Excellence (RCE) and 23 university-level research institutes and centers. The student body consists of approximately 27,500 undergraduate and 10,000 graduate students, and over 2,300 faculty members.  
Minimum GPA: 3.3"
National University of Singapore (NUS) - School of Business,Singapore,Singapore,,"Overview:
*Note: Open to students in Dyson only*
A leading global university centered in Asia, the National University of Singapore (NUS) offers a global approach to education and research with a focus on Asian perspectives and expertise. NUS was founded in 1905 and is today Singapore’s flagship university, widely seen as among the best universities in Asia and the world. According to the Times Higher Education World University Ranking, NUS is 3rd in Asia and 25th in the world. 
Minimum GPA: 3.3"
"Pembroke College, Cambridge - Semester Program","Cambridge, United Kingdom",Cambridge,United Kingdom,"Overview:
The Spring Semester Program at Pembroke College, University of Cambridge offers an exceptional opportunity to experience life as an undergraduate in one of the most distinguished university cities in the world. This prestigious program requires you to meet the same high standards as those applying for an undergraduate degree at Cambridge. Learning at Cambridge is about depth.  This program should not be used as a way of fulfilling general requirements, and you are expected to take courses in the subject area of your major. The subjects on offer include: Economics; Education; English; History; Human, Social, and Political Sciences; Anglo-Saxon, Norse, and Celtic; Archaeology; Asian and Middle Eastern Studies; Classics; History of Art; Linguistics; Philosophy; Theology, Religion, and Philosophy of Religion. Most Cambridge degrees have two sections, known as Part I and Part II, and you can generally choose courses from both Parts (most commonly Part IB)
Minimum GPA: 3.75 
"
Queen Mary + Arcadia London Internship Program,"London, United Kingdom",London,United Kingdom,"Overview:
Participate in a semester internship, in partnership with Arcadia's London internship program (internship counts as one of your courses).  London is a leading destination for Study Abroad students, and Queen Mary offers a fully integrated academic experience. Queen Mary has one of the largest self-contained campuses in London, which provides a convenient, safe, and friendly atmosphere for students, and offers on-campus Accommodation*. ""Countdown to Queen Mary"" newsletters offer step-by-step guidance to get you ready for your arrival on campus. 
Minimum GPA: 3.0"
"Queen Mary, University of London","London, United Kingdom",London,United Kingdom,"Overview:
London is a leading destination for Study Abroad students, and Queen Mary offers a fully integrated academic experience, including Thematic Programmes in English and Drama. Queen Mary has one of the largest self-contained campuses in London, which provides a convenient, safe, and friendly atmosphere for students, and offers on-campus Accommodation*. ""Countdown to Queen Mary"" newsletters offer step-by-step guidance to get you ready for your arrival on campus. 
Minimum GPA: 3.0"
"SEA Semester: Climate & Society, Aotearoa","Auckland, New Zealand",Auckland,New Zealand," Overview:
During the shore component, students will develop a semester-long research project, review essential climate humanities literature, and design a plan for original field research. Climate & Society will discuss a range of climate related issues including human migration and displacement, coastal and urban resilience, environmental justice, energy alternatives, and sustainable design. The sailing component begins in Auckland, Aotearoa New Zealand, where students will examine climate change issues and local solutions with marine scientists and community leaders. Students will learn about coastal erosion mitigation strategies in Aotearoa New Zealand and explore the effects of climate change on agricultural production and foodways there. Through daily oceanographic surveys, “classroom” discussions, and navigational training while at sea, students participating in Climate & Society will gain a unique and valuable perspective of how climate change links oceanic and terrestrial systems. The Climate & Society cruise track returns to Auckland with a final onboard symposium featuring student presentations of field research and storytelling projects.
Minimum GPA: None"
"SEA Semester: Climate Change and Coastal ResilienceAuckland and Christchurch, New Zealand","Auckland, New Zealand",Auckland,New Zealand,"Overview: 
A humanities and social sciences semester at sea that takes a human-centered approach to solving the challenges presented by global climate change. Pursue a more sustainable relationship with our oceans, Sail the Pacific and learn how climate change is affecting coastal communities, Examine strategies for building coastal resilience and mitigating the impacts of sea level rise, and Interact with local stakeholders, environmental activists, and urban design and climate change experts. This semester at sea program is designed for non-science majors who are interested in addressing climate change. It allows students with a limited background in the sciences to explore climate-related issues. Open to all majors.
Minimum GPA: None "
"SIT/IHP: Cities in the 21st Century: People, Planning, and Politic","Buenos Aires, Argentina",Buenos Aires,Argentina,"Overview:
*Note: Takes place in Buenos Aires, Argentina, Barcelona, Spain, Cape Town, South Africa*
Explore social justice in urban environments. Examine how four cities around the world work, how they operate within the global economy, and how their citizens live and organize to create more just cities. Through this program, you will explore politics, economics, geography, and culture in the built environment, learn how to critically “read” a city and understand interconnected systems, meet renowned academics, thought leaders, elected officials, and NGOs, observe community activism, media, and businesses that make a culture thrive, and live and study in three world cities undergoing rapid change and facing unique challenges.
Minimum GPA: 2.5"
"SIT/IHP: Cities in the 21st Century: People, Planning, and Politic","Cape Town, South Africa",Cape Town,South Africa ,"Overview: *Note: Takes place in Buenos Aires, Argentina, Barcelona, Spain, Cape Town, South Africa* Explore social justice in urban environments. Examine how four cities around the world work, how they operate within the global economy, and how their citizens live and organize to create more just cities. Through this program, you will explore politics, economics, geography, and culture in the built environment, learn how to critically “read” a city and understand interconnected systems, meet renowned academics, thought leaders, elected officials, and NGOs, observe community activism, media, and businesses that make a culture thrive, and live and study in three world cities undergoing rapid change and facing unique challenges. Minimum GPA: 2.5"
"SIT/IHP: Cities in the 21st Century: People, Planning, and Politic","Barcelona, Spain",Barcelona,Spain ,"Overview:
*Note: Takes place in Buenos Aires, Argentina, Barcelona, Spain, Cape Town, South Africa*
Explore social justice in urban environments. Examine how four cities around the world work, how they operate within the global economy, and how their citizens live and organize to create more just cities. Through this program, you will explore politics, economics, geography, and culture in the built environment, learn how to critically “read” a city and understand interconnected systems, meet renowned academics, thought leaders, elected officials, and NGOs, observe community activism, media, and businesses that make a culture thrive, and live and study in three world cities undergoing rapid change and facing unique challenges.
Minimum GPA: 2.5
"
"SIT/IHP: Health and Community: Globalization, Culture & Care (Fall)","Hanoi, Vietnam",Hanoi,Vietnam,"Overview: *Note: Takes place in Washington DC, Hanoi, Vietnam, and Cape Town, South Africa*
Learn how communities around the world understand and strive for health and well-being. Explore unique localities and gain insights into healthcare across continents, Conduct in-depth, research practice in radically varied contexts, Experience rare opportunities to interact with healthcare leaders and local experts, and Witness healthcare access from the sprawling megalopolis to the rural village. IHP programs spend significant time in two or three countries, and contrast both with a U.S. experience on the same topic or theme to examine global challenges in different settings.  Because of the popularity of the Health and Community program, there are often two different tracks per semester. Both offer the same set of courses, but the different locations will provide their own ""lenses"" on the subject matter.  Check the SIT website for itinerary and course information. While on location, you will have country-specific course coordinators and many local experts from all walks of life. You will spend time in urban and rural settings meeting with academics, policy makers, health care providers, and consumers of the local health care system.  The case study abroad allows you to go in greater depth on a program that exposes you to so much.
Minimum GPA: 2.5
"
"SIT/IHP: Health and Community: Globalization, Culture & Care (Fall)","Cape Town, South Africa",Cape Town,South Africa,"Overview:
Learn how communities around the world understand and strive for health and well-being. Explore unique localities and gain insights into healthcare across continents, Conduct in-depth, research practice in radically varied contexts, Experience rare opportunities to interact with healthcare leaders and local experts, and Witness healthcare access from the sprawling megalopolis to the rural village. IHP programs spend significant time in two or three countries, and contrast both with a U.S. experience on the same topic or theme to examine global challenges in different settings.  Because of the popularity of the Health and Community program, there are often two different tracks per semester. Both offer the same set of courses, but the different locations will provide their own ""lenses"" on the subject matter.  Check the SIT website for itinerary and course information. While on location, you will have country-specific course coordinators and many local experts from all walks of life. You will spend time in urban and rural settings meeting with academics, policy makers, health care providers, and consumers of the local health care system.  The case study abroad allows you to go in greater depth on a program that exposes you to so much.
Minimum GPA: 2.5
"
"SIT/IHP: Food Systems - Agriculture, Sustainability, and Justice","Quito, Ecuador",Quito,Ecuador,"Overview: **Note: You will visit Quito, Ecuador, Bilbao, Spain, and Lilongwe, Malawi** Explore challenges facing global and local food systems and examine innovative responses offering promise toward building sustainable food futures. SIT's International Honors Programs provide unmatched exposure to issues and actors with a social justice lens. IHP programs will fill your days with classes and site visits, leaving most evenings and weekends free. The program requires tolerance for small groups, openness/curiosity about difference, and willingness to accept structure with a high level of adaptability to change. With strong attention to safety and security, students gain access to people and places that would normally be inaccessible. Students looking to engage in independent travel with considerable free time should consider whether this program model is a good fit. Minimum GPA: 2.5"
"SIT/IHP: Food Systems - Agriculture, Sustainability, and JusticeEcuador, Malawi, Spain","Bilbao, Spain",Bilbao,Spain,"Overview:
**Note: You will visit Quito, Ecuador, Bilbao, Spain, and Lilongwe, Malawi**
Explore challenges facing global and local food systems and examine innovative responses offering promise toward building sustainable food futures. SIT's International Honors Programs provide unmatched exposure to issues and actors with a social justice lens. IHP programs will fill your days with classes and site visits, leaving most evenings and weekends free.  The program requires tolerance for small groups, openness/curiosity about difference, and willingness to accept structure with a high level of adaptability to change. With strong attention to safety and security, students gain access to people and places that would normally be inaccessible.  Students looking to engage in independent travel with considerable free time should consider whether this program model is a good fit. 
Minimum GPA: 2.5
"
"SIT: Cameroon, Development and Social Change","Yaoundé, Cameroon",Yaoundé,Cameroon,"Overview:
Examine development and the changing cultures, politics, and economy of Cameroon and explore the immigrant experience of Cameroonians in France.
Minimum GPA: 2.5"
